Toidu nimi (EST),Kcal,Süsivesikud,Rasvad,Kiudained,Valgud,Vesi,Suhkrud
Kodujuust,103,2.50,4.40,0,13.3,78.5,2.50
Kodune hakkliha,439,0,37.2,0,25.9,35.4,0
Koha,107,0,0.273,0,26.3,72.0,0
Kohuke,343,23.4,21.1,0.240,15.1,39.9,22.7
Kohupiim,102,4.04,5.01,0,10.3,79.8,4.04
Kohupiimakreem,123,14.0,4.00,0,7.80,73.6,14.0
Kohupiimapasta,121,15.8,2.50,0.165,8.88,72.3,15.6
Kohvikoor,119,4.20,10.00,0,3.00,82.1,4.20
Kolmeviljahelbed,399,66.8,10.7,11.0,14.4,6.03,1.000
Kondenspiim,324,55.6,7.87,0,7.70,27.1,55.6
Konjak,227,0.800,0,0,0,67.1,0.500
Konnakoivad,68.3,0,0.300,0,16.4,81.9,0
Konservaprikoos,42.2,10.3,0.200,0.900,0.380,88.7,9.20
Kookoshelbed,648,30.0,61.3,24.7,6.50,0.250,5.25
Kookosjahu,346,57.1,14.0,35.5,16.6,7.32,19.4
Kookosõli,896,0,99.5,0,0,0.490,0
Kookospiim,11.2,0,1.20,0,0.100,98.6,0
Kookosvesi,13.0,3.33,0,0,0.200,96.0,2.48
Koola,42.4,10.6,0,0,0,89.4,10.6
Köömned,350,53.8,14.6,38.0,19.8,5.86,1.38
Koriander,31.8,5.10,0.600,3.20,3.10,89.4,1.30
Kõrsik,336,65.5,4.50,3.20,9.90,19.2,5.30
Kõrvits,19.7,5.28,0.110,1.21,0.660,95.3,1.87
Kõrvitsaseemned,606,14.7,49.0,6.50,29.8,2.13,1.28
Kõrvitsaseemneõli,900,0,100.0,0,0,0,0
Kõvajuust,366,0,26.0,0,33.0,36.9,0
Krabi,84.7,0,0.300,0,20.5,77.6,0
Kreegid,44.0,11.4,0,1.80,0.500,88.1,9.60
Kreeka jogurt,80.0,4.00,4.00,0,7.00,84.4,4.00
Kreeka pähklid,693,17.3,64.6,7.00,14.1,2.30,2.60
Kreekapähkliõli,899,0,99.9,0,0,0.100,0
Kreekerid,489,66.0,22.5,4.30,7.80,1.60,1.60
Krevetid,120,0,1.31,0,27.0,68.7,0
Kuivatatud ananass,381,97.7,0,4.74,0,1.46,77.0
Kuivatatud aprikoos,245,64.0,0.700,7.70,4.80,27.0,43.4
Kuivatatud jõhvikad,314,79.9,1.40,5.70,0.100,18.4,72.5
Kuivatatud papaia,265,62.6,0.900,5.00,4.00,29.1,52.2
Kuivik,361,72.0,3.90,3.00,11.0,11.1,2.40
Kuivpärm,275,33.2,5.33,26.9,37.0,16.2,0
Kukeseened,39.0,7.85,0.931,5.05,2.66,86.9,1.54
Kukkel,277,48.4,5.40,2.40,10.00,34.2,8.30
Kuld-merikoger,178,0,11.4,0,18.9,68.5,0
Kummikomm,344,79.6,0,0.100,6.50,13.8,58.7
